time,V(n010),V(n011),V(n014),I(Rchip2)
0.000000000000000e+000,3.300000e+000,3.212214e-002,0.000000e+000,-3.710108e-038
9.999999824516700e-015,3.300000e+000,3.212214e-002,1.100000e-005,-1.912317e-013
1.999999964903340e-014,3.300000e+000,3.212214e-002,2.200000e-005,-5.099355e-013
3.999999929806680e-014,3.300000e+000,3.212214e-002,4.400000e-005,-1.682675e-012
7.999999859613360e-014,3.300000e+000,3.212214e-002,8.800000e-005,-6.270652e-012
1.599999971922672e-013,3.300000e+000,3.212214e-002,1.760000e-004,-2.461603e-011
3.199999943845344e-013,3.300000e+000,3.212214e-002,3.520000e-004,-9.795657e-011
6.399999887690688e-013,3.300000e+000,3.212215e-002,7.040000e-004,-3.910574e-010
1.279999977538138e-012,3.300000e+000,3.212216e-002,1.408000e-003,-1.561897e-009
2.559999955076275e-012,3.300000e+000,3.212221e-002,2.816000e-003,-6.236329e-009
5.119999910152551e-012,3.300000e+000,3.212242e-002,5.632000e-003,-2.488024e-008
1.023999982030510e-011,3.300000e+000,3.212315e-002,1.126400e-002,-9.125945e-008
1.637208547765804e-011,3.300000e+000,3.212447e-002,1.800929e-002,-2.111791e-007
2.014901030549515e-011,3.300000e+000,3.212555e-002,2.216391e-002,-3.090740e-007
2.218088369350902e-011,3.300000e+000,3.212803e-002,2.439897e-002,-5.281780e-007
1.471808836935090e-010,3.300000e+000,3.244397e-002,1.618990e-001,-2.814668e-005
2.721808836935091e-010,3.300000e+000,3.290278e-002,2.993990e-001,-6.765174e-005
3.971808836935090e-010,3.300000e+000,3.349693e-002,4.368990e-001,-1.182521e-004
4.058024865937681e-010,3.300000e+000,3.354147e-002,4.463827e-001,-1.220299e-004
4.402888981948043e-010,3.300000e+000,3.372958e-002,4.843178e-001,-1.379316e-004
4.862707803295193e-010,3.300000e+000,3.400399e-002,5.348979e-001,-1.609816e-004
5.782345445989492e-010,3.300000e+000,3.462692e-002,6.360580e-001,-2.126574e-004
7.621620731378091e-010,3.300000e+000,3.603087e-002,8.383783e-001,-3.275845e-004
8.293481066030454e-010,3.300000e+000,3.659831e-002,9.122829e-001,-3.734080e-004
8.820313233955027e-010,3.300000e+000,3.708089e-002,9.702345e-001,-4.118791e-004
9.513717052100950e-010,3.300000e+000,3.774922e-002,1.046509e+000,-4.645874e-004
1.041038061650279e-009,3.300000e+000,3.865628e-002,1.145142e+000,-5.352950e-004
1.125010632567753e-009,3.300000e+000,3.954951e-002,1.237512e+000,-6.039781e-004
1.225415117505444e-009,3.300000e+000,4.067193e-002,1.347957e+000,-6.889721e-004
1.331645857762226e-009,3.300000e+000,4.191143e-002,1.464810e+000,-7.814538e-004
1.405910612162786e-009,3.300000e+000,4.281129e-002,1.546502e+000,-8.476302e-004
1.479098665769844e-009,3.300000e+000,4.373282e-002,1.627009e+000,-9.142803e-004
1.625474772983958e-009,3.300000e+000,4.564803e-002,1.788022e+000,-1.050250e-003
1.773456320637647e-009,3.300000e+000,4.764736e-002,1.950802e+000,-1.189860e-003
1.799803647761883e-009,3.300000e+000,4.801371e-002,1.979784e+000,-1.215039e-003
1.852498302010354e-009,3.300000e+000,4.876354e-002,2.037748e+000,-1.265874e-003
1.957887610507297e-009,3.300000e+000,5.028379e-002,2.153676e+000,-1.368056e-003
1.982168317007612e-009,3.300000e+000,5.063949e-002,2.180385e+000,-1.391725e-003
2.030729730008242e-009,3.300000e+000,5.136299e-002,2.233803e+000,-1.439326e-003
2.127852556009502e-009,3.300000e+000,5.282628e-002,2.340638e+000,-1.534852e-003
2.148467035494064e-009,3.300000e+000,5.314079e-002,2.363314e+000,-1.555201e-003
2.189695994463186e-009,3.300000e+000,5.377842e-002,2.408666e+000,-1.596049e-003
2.272153912401432e-009,3.300000e+000,5.506498e-002,2.499369e+000,-1.677926e-003
2.290263002148683e-009,3.300000e+000,5.535038e-002,2.519289e+000,-1.695951e-003
2.326481181643186e-009,3.300000e+000,5.592749e-002,2.559129e+000,-1.732089e-003
2.398917540632190e-009,3.300000e+000,5.709034e-002,2.638809e+000,-1.804479e-003
2.453244809873943e-009,3.300000e+000,5.797592e-002,2.698569e+000,-1.858933e-003
2.525681168862948e-009,3.300000e+000,5.916900e-002,2.778249e+000,-1.931673e-003
2.543790258610199e-009,3.300000e+000,5.946975e-002,2.798169e+000,-1.949883e-003
2.580008438104701e-009,3.300000e+000,6.007694e-002,2.838009e+000,-1.986356e-003
2.652444797093705e-009,3.300000e+000,6.129957e-002,2.917689e+000,-2.059373e-003
2.670553886840957e-009,3.300000e+000,6.160766e-002,2.937609e+000,-2.077647e-003
