time,V(n010),V(n011),V(n014),I(Rchip2)
0.000000000000000e+000,3.300000e+000,3.435131e-002,0.000000e+000,-3.967576e-038
9.999999824516700e-015,3.300000e+000,3.435131e-002,1.100000e-005,-1.985585e-013
1.999999964903340e-014,3.300000e+000,3.435131e-002,2.200000e-005,-5.293908e-013
3.999999929806680e-014,3.300000e+000,3.435131e-002,4.400000e-005,-1.746527e-012
7.999999859613360e-014,3.300000e+000,3.435131e-002,8.800000e-005,-6.508054e-012
1.599999971922672e-013,3.300000e+000,3.435131e-002,1.760000e-004,-2.554741e-011
3.199999943845344e-013,3.300000e+000,3.435131e-002,3.520000e-004,-1.016614e-010
6.399999887690688e-013,3.300000e+000,3.435131e-002,7.040000e-004,-4.058407e-010
1.279999977538138e-012,3.300000e+000,3.435133e-002,1.408000e-003,-1.620914e-009
2.559999955076275e-012,3.300000e+000,3.435138e-002,2.816000e-003,-6.471831e-009
5.119999910152551e-012,3.300000e+000,3.435159e-002,5.632000e-003,-2.581842e-008
1.023999982030510e-011,3.300000e+000,3.435235e-002,1.126400e-002,-9.469267e-008
1.637208831442946e-011,3.300000e+000,3.435374e-002,1.800930e-002,-2.207088e-007
2.082744064750886e-011,3.300000e+000,3.435510e-002,2.291019e-002,-3.440393e-007
2.357097866827321e-011,3.300000e+000,3.435859e-002,2.592808e-002,-6.521450e-007
1.485709786682732e-010,3.300000e+000,3.468600e-002,1.634281e-001,-2.927112e-005
2.735709786682732e-010,3.300000e+000,3.515995e-002,3.009281e-001,-7.007407e-005
3.985709786682733e-010,3.300000e+000,3.577186e-002,4.384281e-001,-1.221736e-004
4.071785667456648e-010,3.300000e+000,3.581762e-002,4.478964e-001,-1.260530e-004
4.416089190552307e-010,3.300000e+000,3.601068e-002,4.857698e-001,-1.423695e-004
4.875160554679854e-010,3.300000e+000,3.629197e-002,5.362676e-001,-1.659883e-004
5.793303282934948e-010,3.300000e+000,3.692915e-002,6.372634e-001,-2.188236e-004
7.629588739445136e-010,3.300000e+000,3.836257e-002,8.392547e-001,-3.360967e-004
8.307207328949502e-010,3.300000e+000,3.894682e-002,9.137928e-001,-3.832453e-004
8.832412576832303e-010,3.300000e+000,3.943717e-002,9.715654e-001,-4.223045e-004
9.519195167806254e-010,3.300000e+000,4.011112e-002,1.047112e+000,-4.754074e-004
1.041583495593080e-009,3.300000e+000,4.103351e-002,1.145742e+000,-5.472383e-004
1.125757259325824e-009,3.300000e+000,4.194308e-002,1.238333e+000,-6.170948e-004
1.227430724866624e-009,3.300000e+000,4.310220e-002,1.350174e+000,-7.045711e-004
1.377963033069523e-009,3.300000e+000,4.490361e-002,1.515759e+000,-8.381089e-004
1.475994378417827e-009,3.300000e+000,4.612820e-002,1.623594e+000,-9.272925e-004
1.554644421459791e-009,3.300000e+000,4.714784e-002,1.710109e+000,-1.000305e-003
1.635652549729311e-009,3.300000e+000,4.823453e-002,1.799218e+000,-1.076745e-003
1.797668806268351e-009,3.300000e+000,5.048627e-002,1.977436e+000,-1.231965e-003
1.951120671091161e-009,3.300000e+000,5.268396e-002,2.146233e+000,-1.380728e-003
1.981462986369208e-009,3.300000e+000,5.313047e-002,2.179609e+000,-1.410429e-003
2.042147616925303e-009,3.300000e+000,5.404345e-002,2.246362e+000,-1.470246e-003
2.163516878037491e-009,3.300000e+000,5.589474e-002,2.379869e+000,-1.590336e-003
2.192098080689914e-009,3.300000e+000,5.633758e-002,2.411308e+000,-1.618730e-003
2.249260485994758e-009,3.300000e+000,5.723407e-002,2.474186e+000,-1.675689e-003
2.263551087320969e-009,3.300000e+000,5.745969e-002,2.489906e+000,-1.689950e-003
2.292132289973391e-009,3.300000e+000,5.791464e-002,2.521346e+000,-1.718522e-003
2.349294695278236e-009,3.300000e+000,5.883444e-002,2.584224e+000,-1.775784e-003
2.463619505887924e-009,3.300000e+000,6.069601e-002,2.709981e+000,-1.890553e-003
2.492200708540347e-009,3.300000e+000,6.116758e-002,2.741421e+000,-1.919308e-003
2.549363113845191e-009,3.300000e+000,6.212491e-002,2.804299e+000,-1.976949e-003
2.663687924454879e-009,3.300000e+000,6.405994e-002,2.930057e+000,-2.092391e-003
2.763722133738357e-009,3.300000e+000,6.578724e-002,3.040094e+000,-2.193638e-003
2.792303336390779e-009,3.300000e+000,6.628788e-002,3.071534e+000,-2.222608e-003
2.863756343021835e-009,3.300000e+000,6.754710e-002,3.150132e+000,-2.295069e-003
2.892337545674257e-009,3.300000e+000,6.805634e-002,3.181571e+000,-2.324078e-003
2.942837594695156e-009,3.300000e+000,6.896173e-002,3.237121e+000,-2.375356e-003
3.000000000000000e-009,3.300000e+000,6.999248e-002,3.300000e+000,-2.433421e-003
3.000714530066311e-009,3.300000e+000,7.000545e-002,3.300000e+000,-2.434146e-003
3.002143590198932e-009,3.300000e+000,7.003134e-002,3.300000e+000,-2.435594e-003
3.005001710464174e-009,3.300000e+000,7.008310e-002,3.300000e+000,-2.438483e-003
3.005716240530485e-009,3.300000e+000,7.009602e-002,3.300000e+000,-2.439203e-003
3.007145300663106e-009,3.300000e+000,7.012182e-002,3.300000e+000,-2.440640e-003
3.010003420928348e-009,3.300000e+000,7.017338e-002,3.300000e+000,-2.443506e-003
3.010717950994659e-009,3.300000e+000,7.018624e-002,3.300000e+000,-2.444221e-003
3.012147011127280e-009,3.300000e+000,7.021195e-002,3.300000e+000,-2.445648e-003
3.012504276160435e-009,3.300000e+000,7.021838e-002,3.300000e+000,-2.446004e-003
3.013218806226746e-009,3.300000e+000,7.023121e-002,3.300000e+000,-2.446715e-003
3.014647866359367e-009,3.300000e+000,7.025688e-002,3.300000e+000,-2.448137e-003
3.015005131392522e-009,3.300000e+000,7.026330e-002,3.300000e+000,-2.448492e-003
3.015719661458833e-009,3.300000e+000,7.027611e-002,3.300000e+000,-2.449200e-003
3.017148721591454e-009,3.300000e+000,7.030172e-002,3.300000e+000,-2.450616e-003
3.017505986624609e-009,3.300000e+000,7.030812e-002,3.300000e+000,-2.450970e-003
3.018220516690920e-009,3.300000e+000,7.032090e-002,3.300000e+000,-2.451675e-003
3.019649576823541e-009,3.300000e+000,7.034646e-002,3.300000e+000,-2.453084e-003
3.022507697088783e-009,3.300000e+000,7.039750e-002,3.300000e+000,-2.455896e-003
3.023222227155094e-009,3.300000e+000,7.041024e-002,3.300000e+000,-2.456597e-003
3.024651287287715e-009,3.300000e+000,7.043570e-002,3.300000e+000,-2.457995e-003
3.027509407552957e-009,3.300000e+000,7.048649e-002,3.300000e+000,-2.460779e-003
3.033225648083441e-009,3.300000e+000,7.058784e-002,3.300000e+000,-2.466323e-003
3.034654708216062e-009,3.300000e+000,7.061312e-002,3.300000e+000,-2.467702e-003
3.037512828481304e-009,3.300000e+000,7.066352e-002,3.300000e+000,-2.470443e-003
3.043229069011789e-009,3.300000e+000,7.076391e-002,3.300000e+000,-2.475880e-003
3.054661550072758e-009,3.300000e+000,7.096305e-002,3.300000e+000,-2.486577e-003
3.077526512194696e-009,3.300000e+000,7.135499e-002,3.300000e+000,-2.507278e-003
3.123256436438571e-009,3.300000e+000,7.212526e-002,3.300000e+000,-2.547196e-003
3.134688917499540e-009,3.300000e+000,7.231409e-002,3.300000e+000,-2.556768e-003
3.157553879621478e-009,3.300000e+000,7.268345e-002,3.300000e+000,-2.575006e-003
3.203283803865353e-009,3.300000e+000,7.341061e-002,3.300000e+000,-2.610222e-003
3.237581247048260e-009,3.300000e+000,7.393862e-002,3.300000e+000,-2.634744e-003
3.283311171292135e-009,3.300000e+000,7.462745e-002,3.300000e+000,-2.665787e-003
3.317608614475042e-009,3.300000e+000,7.512864e-002,3.300000e+000,-2.687391e-003
3.363338538718917e-009,3.300000e+000,7.578340e-002,3.300000e+000,-2.714728e-003
